node,node_id
100270091,0
100270092,1
100270093,2
100270094,3
100270095,4
100270096,5
100270097,6
100270098,7
100270099,8
100270100,9
100270101,10
100270102,11
100270103,12
100270104,13
100270106,14
100270107,15
100270108,16
100270109,17
100270110,18
100270111,19
100270112,20
100270113,21
100270114,22
100270115,23
100270116,24
100270117,25
100270118,26
100270119,27
100270120,28
100270121,29
100270122,30
100270123,31
100270124,32
100270125,33
100270126,34
100270127,35
100270128,36
100270129,37
100270130,38
100270131,39
100270132,40
100270133,41
100270134,42
100270135,43
100270136,44
100270137,45
100270138,46
100270140,47
100270141,48
100270142,49
100270143,50
100270144,51
100270145,52
100270146,53
100270147,54
100270148,55
100270149,56
100270150,57
100270151,58
100270152,59
100270153,60
100270154,61
100270155,62
100270156,63
100270157,64
100270158,65
100270159,66
100270160,67
100270161,68
100270162,69
100270163,70
100270164,71
100270165,72
100270167,73
100270168,74
100270169,75
100270170,76
100270171,77
100270172,78
100270173,79
100270174,80
100270175,81
100270176,82
100270177,83
100270178,84
100270179,85
100270180,86
100270181,87
100270182,88
100270183,89
100270184,90
100270185,91
100270186,92
100270187,93
100270188,94
100270189,95
100270190,96
100270191,97
100270193,98
100270194,99
100270195,100
100270197,101
100270199,102
100270202,103
100270203,104
100270204,105
100270205,106
100270206,107
100270207,108
100270208,109
100270209,110
100270210,111
100270211,112
100270212,113
100335639,114
100335640,115
100335641,116
100335642,117
100335643,118
100335645,119
100335646,120
100335647,121
100335648,122
100335649,123
100335650,124
100335651,125
100335652,126
100335653,127
100335654,128
100335656,129
100335657,130
100335658,131
100335659,132
100335660,133
100335661,134
100335662,135
100335663,136
100335664,137
100335665,138
100335666,139
100335667,140
100335668,141
100335669,142
100335670,143
100335671,144
100335672,145
100335673,146
100335674,147
100335675,148
100335676,149
100335677,150
100335678,151
100335679,152
100335680,153
100335681,154
100335682,155
100335683,156
100335685,157
100335686,158
100335687,159
100335688,160
100335689,161
100335690,162
100335691,163
100335692,164
100335693,165
100335694,166
100335695,167
100335696,168
100335697,169
100335698,170
100335700,171
100335701,172
100335702,173
100335703,174
100335704,175
100335705,176
100335706,177
100335707,178
100335708,179
100335710,180
100335711,181
100335712,182
100335713,183
100335714,184
100335715,185
100335716,186
100335717,187
100335718,188
100335719,189
100335720,190
100335721,191
100335724,192
100335725,193
100335726,194
100335728,195
100335729,196
