window_id,nodes,edges,total_duration_seconds,mean_edge_duration_seconds,window_start,window_end
0,200,714,118860.0,166.47058823529412,1240913019.0,1240941099.0
1,204,739,134180.0,181.56968876860623,1241085639.0,1241114639.0
2,186,615,113820.0,185.0731707317073,1241260239.0,1241286859.0
3,211,563,148180.0,263.19715808170514,1241431539.0,1241460379.0
4,215,967,152680.0,157.89038262668046,1241604459.0,1241624659.0
5,305,1847,265620.0,143.81158635625337,1241777679.0,1241798559.0
6,101,175,48980.0,279.8857142857143,1242036199.0,1242064439.0
7,176,745,140880.0,189.1006711409396,1242208919.0,1242236899.0
8,194,801,137860.0,172.10986267166044,1242381279.0,1242410119.0
9,225,1006,172740.0,171.70974155069584,1242641299.0,1242662459.0
10,172,627,139500.0,222.48803827751198,1242813959.0,1242833979.0
11,101,184,67900.0,369.0217391304348,1243073359.0,1243101339.0
12,175,597,142500.0,238.69346733668343,1243245379.0,1243274439.0
13,137,624,131760.0,211.15384615384616,1243418719.0,1243447039.0
14,241,1301,166100.0,127.67102229054574,1243591159.0,1243621819.0
15,241,1504,247540.0,164.5877659574468,1243764299.0,1243785539.0
16,190,1349,234020.0,173.47664936990364,1243937079.0,1243957759.0
17,99,238,68420.0,287.47899159663865,1244196299.0,1244223779.0
18,188,935,168320.0,180.02139037433156,1244368679.0,1244397379.0
19,96,256,57180.0,223.359375,1244541339.0,1244570239.0
20,179,932,110580.0,118.6480686695279,1244714659.0,1244743519.0
21,238,1075,168140.0,156.4093023255814,1244887979.0,1244910119.0
22,105,202,62420.0,309.009900990099,1245060339.0,1245081439.0
23,143,548,112440.0,205.1824817518248,1245319279.0,1245347519.0
24,120,397,88440.0,222.7707808564232,1245492119.0,1245518019.0
25,154,1064,147620.0,138.7406015037594,1245664579.0,1245693599.0
26,115,289,78680.0,272.24913494809687,1245837239.0,1245864659.0
27,155,451,116640.0,258.6252771618625,1246011099.0,1246031899.0
28,127,343,78360.0,228.45481049562682,1246184079.0,1246204999.0
29,80,144,32620.0,226.52777777777777,1246442279.0,1246469879.0
30,102,253,65540.0,259.0513833992095,1246615359.0,1246643959.0
31,125,573,80740.0,140.90750436300175,1246789159.0,1246815839.0
32,109,287,101760.0,354.5644599303136,1246960639.0,1246989759.0
33,142,696,166880.0,239.77011494252875,1247133459.0,1247154879.0
34,155,563,111500.0,198.04618117229128,1247307039.0,1247327899.0
35,159,436,108340.0,248.4862385321101,1247563239.0,1247594479.0
36,121,333,54940.0,164.98498498498498,1247738459.0,1247766999.0
37,90,168,65380.0,389.1666666666667,1247912579.0,1247939619.0
38,124,405,104960.0,259.1604938271605,1248083999.0,1248117519.0
39,107,268,80540.0,300.5223880597015,1248257659.0,1248278799.0
40,138,433,96420.0,222.67898383371823,1248429979.0,1248451999.0
41,110,467,128480.0,275.11777301927197,1248688639.0,1248717019.0
42,90,224,72540.0,323.8392857142857,1248861639.0,1248890439.0
43,119,411,63020.0,153.33333333333334,1249034659.0,1249062019.0
44,130,415,95260.0,229.5421686746988,1249208319.0,1249235939.0
45,151,496,89440.0,180.32258064516128,1249380319.0,1249401479.0
46,168,677,121100.0,178.87740029542098,1249552979.0,1249574339.0
47,90,167,66100.0,395.80838323353294,1249811739.0,1249840239.0
48,125,449,100940.0,224.81069042316258,1249984659.0,1250013319.0
49,97,346,88900.0,256.9364161849711,1250157579.0,1250185779.0
50,109,192,62880.0,327.5,1250330379.0,1250359559.0
51,80,163,36640.0,224.78527607361963,1250503759.0,1250525739.0
52,111,399,75920.0,190.27568922305764,1250676899.0,1250697539.0
53,137,441,82580.0,187.2562358276644,1250935079.0,1250963919.0
54,177,823,139600.0,169.62332928311056,1251107839.0,1251134059.0
55,115,324,80680.0,249.01234567901236,1251280299.0,1251309479.0
56,136,330,100700.0,305.1515151515151,1251453239.0,1251482339.0
57,127,526,117440.0,223.2699619771863,1251626639.0,1251647739.0
58,126,399,83140.0,208.37092731829574,1251799539.0,1251820539.0
59,234,1202,197220.0,164.0765391014975,1252058719.0,1252086999.0
60,195,828,153980.0,185.96618357487924,1252231139.0,1252259319.0
61,114,373,94960.0,254.58445040214477,1252404039.0,1252432439.0
62,188,857,159260.0,185.8343057176196,1252576419.0,1252605299.0
63,163,674,133140.0,197.53709198813056,1252750499.0,1252771059.0
64,156,584,94460.0,161.74657534246575,1252922599.0,1252943279.0
65,279,1639,246600.0,150.45759609517998,1253181559.0,1253210439.0
66,410,2765,345960.0,125.12115732368898,1253354539.0,1253382959.0
67,318,1441,219980.0,152.65787647467036,1253527079.0,1253555979.0
68,272,1258,177340.0,140.9697933227345,1253699999.0,1253734559.0
