t,window_start,window_end,day_index,context_label,y_large_outbreak_prob,y_next_large_outbreak_prob,delta_y_large_outbreak_prob,mean_attack_rate,mean_peak_prevalence,d_l2_norm,g_l2_norm,nodes,edges,total_duration_seconds,mean_edge_duration_seconds
0,1241260239.0,1241286859.0,4,morning_class,0.0,0.6,0.6,0.0758064516129032,0.0509408602150537,141.83793568717786,107.45697,186,615,113820.0,185.0731707317073
1,1241431539.0,1241460379.0,6,morning_class,0.6,0.68333334,0.08333331,0.043562401263823,0.0300157977883096,127.4872542648872,72.38785,211,563,148180.0,263.19715808170514
2,1241604459.0,1241624659.0,8,morning_class,0.68333334,0.0,-0.68333334,0.2325581395348837,0.1454651162790697,127.75758294520134,102.05881,215,967,152680.0,157.89038262668046
3,1241777679.0,1241798559.0,10,morning_class,0.0,0.175,0.175,0.4852732240437157,0.2946174863387977,207.4391477036097,323.67886,305,1847,265620.0,143.81158635625337
4,1242036199.0,1242064439.0,12,morning_class,0.175,0.375,0.2,0.039026402640264,0.0329207920792079,58.90670590009256,462.33105,101,175,48980.0,279.8857142857143
5,1242208919.0,1242236899.0,14,morning_class,0.375,0.51666665,0.14166665,0.0923768939393939,0.0689393939393939,110.81967334368028,258.9884,176,745,140880.0,189.1006711409396
6,1242381279.0,1242410119.0,16,morning_class,0.51666665,0.5833333,0.06666666,0.1693728522336769,0.1098797250859106,133.91415160467545,101.31634,194,801,137860.0,172.10986267166044
7,1242641299.0,1242662459.0,20,morning_class,0.5833333,0.0,-0.5833333,0.2904444444444444,0.1734444444444444,154.10061648157026,123.020325,225,1006,172740.0,171.70974155069584
8,1242813959.0,1242833979.0,22,morning_class,0.0,0.041666668,0.041666668,0.3448643410852713,0.1991279069767441,115.43396380615197,75.12656,172,627,139500.0,222.488038277512
9,1243073359.0,1243101339.0,25,morning_class,0.041666668,0.46666667,0.425,0.0405115511551155,0.0344059405940594,58.19793810780585,135.35509,101,184,67900.0,369.0217391304348
10,1243245379.0,1243274439.0,26,morning_class,0.46666667,0.38333333,-0.08333334,0.0585238095238095,0.0445714285714285,90.5869747811461,158.23085,175,597,142500.0,238.69346733668343
11,1243418719.0,1243447039.0,29,morning_class,0.38333333,0.675,0.2916667,0.1355231143552311,0.1057177615571776,72.64296249465602,181.3753,137,624,131760.0,211.15384615384616
12,1243591159.0,1243621819.0,30,morning_class,0.675,0.725,0.050000012,0.1902489626556016,0.118326417704011,176.46246059714798,271.3153,241,1301,166100.0,127.67102229054574
13,1243764299.0,1243785539.0,33,morning_class,0.725,0.09166667,-0.6333333,0.4802213001383125,0.2906984785615491,162.6161123628283,150.42938,241,1504,247540.0,164.5877659574468
14,1243937079.0,1243957759.0,35,morning_class,0.09166667,0.5083333,0.41666666,0.6025438596491227,0.3872807017543859,127.20455966670376,70.54077,190,1349,234020.0,173.47664936990364
15,1244196299.0,1244223779.0,38,morning_class,0.5083333,0.18333334,-0.325,0.071043771043771,0.0529461279461279,52.15361924162119,224.59964,99,238,68420.0,287.47899159663865
16,1244368679.0,1244397379.0,39,morning_class,0.18333334,0.525,0.34166664,0.1715425531914893,0.1216755319148936,106.26382263028184,265.31113,188,935,168320.0,180.02139037433156
17,1244541339.0,1244570239.0,41,morning_class,0.525,0.675,0.15000004,0.0818576388888889,0.0644965277777777,49.08156476723211,241.38559,96,256,57180.0,223.359375
18,1244714659.0,1244743519.0,44,morning_class,0.675,0.0,-0.675,0.1546554934823091,0.1135940409683426,104.89041900955492,148.06418,179,932,110580.0,118.6480686695279
19,1244887979.0,1244910119.0,46,morning_class,0.0,0.25833333,0.25833333,0.4314425770308123,0.244047619047619,191.1700813411973,324.91537,238,1075,168140.0,156.4093023255814
20,1245060339.0,1245081439.0,48,morning_class,0.25833333,0.375,0.116666675,0.0564285714285714,0.0437301587301587,53.113086899558006,423.0721,105,202,62420.0,309.009900990099
21,1245319279.0,1245347519.0,50,morning_class,0.375,0.55,0.17500001,0.1098484848484848,0.081060606060606,72.03471385380801,199.42416,143,548,112440.0,205.1824817518248
22,1245492119.0,1245518019.0,52,morning_class,0.55,0.225,-0.32500002,0.1539583333333333,0.1046527777777777,63.118935352238,64.58328,120,397,88440.0,222.7707808564232
